kappa,q,sigma,E,iters,converged
3.0,-1.0,0.5,1.0157830331899482,103,True
3.0,-1.0,1.125,1.2173967190738715,107,True
3.0,-1.0,1.75,1.3462979987935177,108,True
3.0,-1.0,2.375,1.4371271523020317,107,True
3.0,-1.0,3.0,1.5040505086463736,105,True
3.0,0.0,0.5,1.7286659535140518,73,True
3.0,0.0,1.125,1.728665953514008,73,True
3.0,0.0,1.75,1.7286659535139857,73,True
3.0,0.0,2.375,1.7286659535140263,73,True
3.0,0.0,3.0,1.728665953514052,73,True
3.0,1.0,0.5,2.424778436282961,92,True
3.0,1.0,1.125,2.2036148492534595,91,True
3.0,1.0,1.75,2.0693767139249912,90,True
3.0,1.0,2.375,1.9813342283991922,88,True
3.0,1.0,3.0,1.920405270724246,86,True
3.0,2.0,0.5,3.105201092729643,93,True
3.0,2.0,1.125,2.6482773642587025,92,True
3.0,2.0,1.75,2.378177879222314,91,True
3.0,2.0,2.375,2.205743819314065,89,True
3.0,2.0,3.0,2.088867932998727,87,True
